Name,Team,POS,PTS,PTS/G,GP,PASSING_CMP,PASSING_YDS,PASSING_TD,PASSING_INT,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,RUSHING_FUM,RECEIVING_TGT,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TD
Lamar Jackson,BAL,QB,430.4,25.3,17,316,4172,41,4,139,915,4,5,0,0,0,0
Joe Burrow,CIN,QB,372.8,21.9,17,460,4918,43,9,42,201,2,5,0,0,0,0
Josh Allen,BUF,QB,372.3,21.9,17,307,3731,28,6,102,531,12,2,0,0,7,1
Baker Mayfield,TB,QB,365.8,21.5,17,407,4500,41,16,60,378,3,2,0,0,0,0
Jayden Daniels,WAS,QB,355.8,20.9,17,331,3568,25,9,148,891,6,0,0,0,0,0
Ja'Marr Chase,CIN,WR,339.5,20,17,0,0,0,0,3,32,0,0,175,127,1708,17
Saquon Barkley,PHI,RB,338.8,21.2,16,0,0,0,0,345,2005,13,1,43,33,278,2
Jahmyr Gibbs,DET,RB,336.9,19.8,17,0,0,0,0,250,1412,16,1,63,52,517,4
Derrick Henry,BAL,RB,326.9,19.2,17,0,0,0,0,325,1921,16,1,22,19,193,2
Jared Goff,DET,QB,316.8,18.6,17,390,4629,37,12,35,56,0,0,1,1,7,1
Jalen Hurts,PHI,QB,315.1,21,15,248,2903,18,5,150,630,14,5,0,0,0,0
Bijan Robinson,ATL,RB,311.2,18.3,17,0,0,0,0,304,1456,14,0,72,61,431,1
Bo Nix,DEN,QB,310,18.2,17,376,3775,29,12,92,430,4,0,1,1,2,1
Sam Darnold,MIN,QB,308,18.1,17,361,4319,35,12,67,212,1,4,0,0,0,0
Kyler Murray,ARI,QB,297.2,17.5,17,372,3851,21,11,78,572,5,4,0,0,0,0
Justin Herbert,LAC,QB,285.4,16.8,17,332,3870,23,3,69,306,2,2,0,0,0,0
Patrick Mahomes,KC,QB,281.8,17.6,16,392,3928,26,11,58,307,2,0,1,1,2,0
Josh Jacobs,GB,RB,275.1,16.2,17,0,0,0,0,301,1329,15,3,43,36,342,1
Brock Purdy,SF,QB,266.9,17.8,15,300,3864,20,12,66,323,5,3,0,0,0,0
Geno Smith,SEA,QB,266,15.6,17,407,4320,21,15,53,272,2,0,0,0,0,0
Justin Jefferson,MIN,WR,265.1,15.6,17,1,22,0,0,1,3,0,0,153,103,1533,10
De'Von Achane,MIA,RB,260.9,15.3,17,0,0,0,0,203,907,6,0,87,78,592,6
Aaron Rodgers,NYJ,QB,256.6,15.1,17,368,3897,28,11,22,107,0,2,0,0,0,0
Kyren Williams,LAR,RB,255.1,15.9,16,0,0,0,0,316,1299,14,3,40,34,182,2
Amon-Ra St. Brown,DET,WR,254.4,15,17,1,7,1,0,2,6,0,1,142,115,1263,12
Caleb Williams,CHI,QB,253.9,14.9,17,351,3541,20,6,82,483,0,5,0,0,0,0
James Cook,BUF,RB,250.7,15.7,16,0,0,0,0,207,1009,16,0,38,32,258,2
Brian Thomas Jr.,JAX,WR,240.5,14.1,17,0,0,0,0,6,48,0,0,133,87,1282,10
Jonathan Taylor,IND,RB,237.7,17,14,0,0,0,0,303,1431,11,0,31,18,136,1
Jordan Love,GB,QB,233.9,15.6,15,268,3389,25,11,25,83,1,0,0,0,0,0
Alvin Kamara,NO,RB,231.3,16.5,14,0,0,0,0,228,950,6,0,89,68,543,2
Drake London,ATL,WR,230.8,13.6,17,0,0,0,0,1,-3,0,0,157,100,1271,9
James Conner,ARI,RB,230.3,14.4,16,0,0,0,0,236,1094,8,1,55,47,414,1
Chase Brown,CIN,RB,228,14.3,16,0,0,0,0,229,990,7,1,65,54,360,4
Terry McLaurin,WAS,WR,226.8,13.3,17,0,0,0,0,2,2,0,1,117,82,1096,13
Joe Mixon,HOU,RB,222.5,15.9,14,0,0,0,0,245,1016,11,0,52,36,309,1
Bucky Irving,TB,RB,220.8,13,17,0,0,0,0,207,1121,8,1,52,47,392,0
C.J. Stroud,HOU,QB,220.4,13,17,336,3727,20,12,52,233,0,4,1,0,0,0
Chuba Hubbard,CAR,RB,220.1,14.7,15,0,0,0,0,250,1195,10,3,54,43,171,1
Malik Nabers,NYG,WR,219.1,14.6,15,0,0,0,0,5,2,0,0,170,109,1204,7
Aaron Jones,MIN,RB,216.1,12.7,17,0,0,0,0,255,1138,5,3,62,51,408,2
Matthew Stafford,LAR,QB,214.6,13.4,16,340,3762,20,8,30,41,0,2,0,0,0,0
CeeDee Lamb,DAL,WR,212.9,14.2,15,0,0,0,0,14,70,0,1,152,101,1194,6
Breece Hall,NYJ,RB,212.4,13.3,16,0,0,0,0,209,876,5,2,76,57,483,3
Brock Bowers,LV,TE,206.7,12.2,17,0,0,0,0,5,13,0,0,153,112,1194,5
Mike Evans,TB,WR,203.4,14.5,14,0,0,0,0,0,0,0,0,110,74,1004,11
Jaxon Smith-Njigba,SEA,WR,201.6,11.9,17,1,35,0,0,5,26,0,0,137,100,1130,6
Garrett Wilson,NYJ,WR,201.4,11.8,17,0,0,0,0,2,5,0,2,153,101,1104,7
Ladd McConkey,LAC,WR,199.9,12.5,16,0,0,0,0,0,0,0,0,112,82,1149,7
David Montgomery,DET,RB,199.6,14.3,14,1,3,1,0,185,775,12,1,38,36,341,0
Davante Adams,LV,WR,198.8,14.2,14,0,0,0,0,0,0,0,0,141,85,1063,8
George Kittle,SF,TE,197.6,13.2,15,0,0,0,0,0,0,0,0,94,78,1106,8
Jerry Jeudy,CLE,WR,195.9,11.5,17,0,0,0,0,0,0,0,0,144,90,1229,4
Bryce Young,CAR,QB,195,13.9,14,234,2403,15,9,43,249,6,2,0,0,0,0
Courtland Sutton,DEN,WR,194.6,11.4,17,2,30,1,0,0,0,0,1,135,81,1081,8
Trey McBride,ARI,TE,194.3,12.1,16,0,0,0,0,1,2,2,0,147,111,1146,2
D'Andre Swift,CHI,RB,193.5,11.4,17,0,0,0,0,253,959,6,0,52,42,386,0
DJ Moore,CHI,WR,189.1,11.1,17,0,0,0,0,14,75,0,1,140,98,966,6
Najee Harris,PIT,RB,186.6,11,17,0,0,0,0,263,1043,6,0,48,36,283,0
Tee Higgins,CIN,WR,185.6,15.5,12,0,0,0,0,0,0,0,1,109,73,911,10
A.J. Brown,PHI,WR,183.4,14.1,13,0,0,0,0,0,0,0,0,97,67,1079,7
Jameson Williams,DET,WR,183.2,12.2,15,0,0,0,0,11,61,1,0,91,58,1001,7
Tua Tagovailoa,MIA,QB,181.6,16.5,11,291,2867,19,7,17,49,0,2,0,0,0,0
Jordan Addison,MIN,WR,181,12.1,15,0,0,0,0,3,20,1,0,99,63,875,9
Tony Pollard,TEN,RB,180.2,11.3,16,0,0,0,0,260,1079,5,2,57,41,238,0
Jonnu Smith,MIA,TE,178.3,10.5,17,0,0,0,0,2,-1,0,1,111,88,884,8
Rico Dowdle,DAL,RB,178.3,11.1,16,0,0,0,0,235,1079,2,2,49,39,249,3
Tyreek Hill,MIA,WR,177.7,10.5,17,0,0,0,0,8,53,0,0,122,81,959,6
Drake Maye,NE,QB,177.1,13.6,13,226,2276,15,10,54,421,2,6,0,0,0,0
Nico Collins,HOU,WR,176.6,14.7,12,0,0,0,0,0,0,0,0,99,68,1006,7
Kirk Cousins,ATL,QB,176.3,12.6,14,303,3508,18,16,23,0,0,2,0,0,0,0
J.K. Dobbins,LAC,RB,175.8,13.5,13,0,0,0,0,195,905,9,0,38,32,153,0
Jakobi Meyers,LV,WR,174.5,11.6,15,0,0,0,0,2,23,0,0,129,87,1027,4
Rachaad White,TB,RB,174.1,10.9,16,0,0,0,0,144,613,3,3,57,51,393,6
Russell Wilson,PIT,QB,172.8,15.7,11,214,2482,16,5,43,155,2,4,0,0,0,0
Zay Flowers,BAL,WR,172.5,10.1,17,0,0,0,0,9,56,0,0,116,74,1059,4
Jauan Jennings,SF,WR,172,11.5,15,0,0,0,0,0,0,0,0,113,77,975,6
Jayden Reed,GB,WR,169.5,10,17,0,0,0,0,20,163,1,1,75,55,857,6
Calvin Ridley,TEN,WR,167.2,9.8,17,0,0,0,0,8,55,1,1,120,64,1017,4
Puka Nacua,LAR,WR,167.1,15.2,11,0,0,0,0,11,46,1,0,106,79,990,3
Zach Charbonnet,SEA,RB,165.9,9.8,17,0,0,0,0,135,569,8,0,52,42,340,1
Marvin Harrison Jr.,ARI,WR,165.5,9.7,17,0,0,0,0,0,0,0,1,116,62,885,8
DeVonta Smith,PHI,WR,165.4,12.7,13,0,0,0,0,1,1,0,0,89,68,833,8
Tyrone Tracy Jr.,NYG,RB,163.3,9.6,17,0,0,0,0,192,839,5,2,53,38,284,1
Anthony Richardson,IND,QB,162.5,14.8,11,126,1814,8,12,86,499,6,3,1,1,-1,0
Mark Andrews,BAL,TE,161.3,9.5,17,0,0,0,0,4,5,0,0,69,55,673,11
Darnell Mooney,ATL,WR,161.2,10.1,16,0,0,0,0,0,0,0,0,107,64,992,5
Rhamondre Stevenson,NE,RB,159.4,10.6,15,0,0,0,0,207,801,7,3,41,33,168,1
DK Metcalf,SEA,WR,158.2,10.5,15,0,0,0,0,0,0,0,2,108,66,992,5
Kenneth Walker III,SEA,RB,158.2,14.4,11,0,0,0,0,153,573,7,0,53,46,299,1
Xavier Worthy,KC,WR,157.7,9.3,17,0,0,0,0,20,104,3,0,98,59,638,6
Rashod Bateman,BAL,WR,152.1,8.9,17,0,0,0,0,0,0,0,0,72,45,756,9
Keenan Allen,CHI,WR,151.4,10.1,15,0,0,0,1,0,0,0,0,121,70,744,7
Derek Carr,NO,QB,150.9,15.1,10,189,2145,15,5,17,71,1,0,0,0,0,0
Brian Robinson Jr.,WAS,RB,149.8,10.7,14,0,0,0,0,187,799,8,2,25,20,159,0
Josh Downs,IND,WR,147.5,10.5,14,0,0,0,0,1,12,0,0,107,72,803,5
Quentin Johnston,LAC,WR,147.2,9.8,15,0,0,0,0,3,6,0,0,91,55,711,8
Travis Kelce,KC,TE,146.9,9.2,16,0,0,0,0,1,1,0,1,133,97,823,3
Trevor Lawrence,JAX,QB,145.7,14.6,10,172,2045,11,7,26,119,3,1,0,0,-5,0
Sam LaPorta,DET,TE,144.6,9,16,0,0,0,0,0,0,0,0,83,60,726,7
Khalil Shakir,BUF,WR,144.5,9.6,15,0,0,0,0,2,4,0,0,100,76,821,4
Zach Ertz,WAS,TE,144.4,8.5,17,0,0,0,0,0,0,0,0,91,66,654,7
Kareem Hunt,KC,RB,143.9,11.1,13,0,0,0,0,200,728,7,0,32,23,176,0
Alec Pierce,IND,WR,142.9,8.9,16,0,0,0,0,0,0,0,0,69,37,824,7
Cooper Kupp,LAR,WR,141.5,11.8,12,0,0,0,0,2,10,0,0,100,67,710,6
Tucker Kraft,GB,TE,138.3,8.1,17,0,0,0,0,3,6,0,1,70,50,707,7
Wan'Dale Robinson,NYG,WR,136.2,8,17,0,0,0,0,3,18,0,0,140,93,699,3
Pat Freiermuth,PIT,TE,135.8,8,17,0,0,0,0,0,0,0,2,78,65,653,7
Daniel Jones,NYG,QB,135.3,13.5,10,216,2070,8,7,67,265,2,2,0,0,0,0
George Pickens,PIT,WR,134.9,9.6,14,0,0,0,0,2,-6,0,1,103,59,900,3
Javonte Williams,DEN,RB,131.9,7.8,17,0,0,0,0,139,513,4,2,70,52,346,0
Michael Pittman Jr.,IND,WR,131.3,8.2,16,0,0,0,0,0,0,0,1,111,69,808,3
Jameis Winston,CLE,QB,131.1,10.9,12,181,2121,13,12,25,83,1,2,0,0,0,0
Deebo Samuel Sr.,SF,WR,128.1,8.5,15,0,0,0,0,42,136,1,1,81,51,670,3
Jalen Tolbert,DAL,WR,127.5,7.5,17,0,0,0,0,0,0,0,0,79,49,610,7
Tank Bigsby,JAX,RB,125.5,7.8,16,0,0,0,0,168,766,7,1,12,7,54,0
Jaylen Waddle,MIA,WR,120.6,8,15,0,0,0,0,4,12,0,0,83,58,744,2
Will Levis,TEN,QB,119.9,10,12,190,2091,13,12,45,183,0,6,0,0,0,0
Nick Westbrook-Ikhine,TEN,WR,119.7,7,17,0,0,0,0,0,0,0,0,60,32,497,9
Alexander Mattison,LV,RB,119.4,8.5,14,0,0,0,0,132,420,4,1,48,36,294,1
Justin Fields,PIT,QB,119.1,11.9,10,106,1106,5,1,62,289,5,1,0,0,0,0
DeAndre Hopkins,TEN,WR,119,7.4,16,0,0,0,0,0,0,0,0,80,56,610,5
Rome Odunze,CHI,WR,117.9,6.9,17,0,0,0,0,3,15,0,1,101,54,734,3
Jalen McMillan,TB,WR,116.9,9,13,0,0,0,0,4,43,0,0,58,37,461,8
Dak Prescott,DAL,QB,116.5,14.6,8,185,1978,11,8,13,54,1,1,0,0,0,0
David Njoku,CLE,TE,116.5,10.6,11,0,0,0,0,0,0,0,0,97,64,505,5
Adam Thielen,CAR,WR,115.5,11.6,10,0,0,0,0,0,0,0,0,62,48,615,5
Jerome Ford,CLE,RB,115.5,8.3,14,0,0,0,0,104,565,3,0,43,37,225,0
Demario Douglas,NE,WR,115.2,6.8,17,0,0,0,0,3,16,0,0,88,67,621,3
Austin Ekeler,WAS,RB,114.8,9.6,12,0,0,0,0,77,367,4,0,41,35,366,0
Tank Dell,HOU,WR,114.5,8.2,14,0,0,0,0,9,43,0,0,81,51,667,3
Chris Godwin,TB,WR,112.8,16.1,7,0,0,0,0,1,2,0,0,62,50,576,5
Hunter Henry,NE,TE,112.4,7,16,0,0,0,0,0,0,0,0,98,66,674,2
Cade Otton,TB,TE,111.1,7.9,14,0,0,0,0,1,-4,0,1,87,59,600,4
Travis Etienne Jr.,JAX,RB,110.7,7.4,15,0,0,0,0,150,558,2,1,52,39,254,0
Marvin Mims Jr.,DEN,WR,110,6.5,17,0,0,0,0,13,42,0,0,52,39,503,6
Cooper Rush,DAL,QB,109.6,9.1,12,187,1844,12,5,26,18,0,3,0,0,0,0
Ray-Ray McCloud III,ATL,WR,109.5,6.4,17,0,0,0,0,10,79,0,2,87,62,686,1
Jordan Mason,SF,RB,109.5,9.1,12,0,0,0,0,153,789,3,1,14,11,91,0
Romeo Doubs,GB,WR,109.1,8.4,13,0,0,0,0,0,0,0,0,72,46,601,4
Mike Gesicki,CIN,TE,109,6.4,17,0,0,0,0,0,0,0,1,83,65,665,2
Demarcus Robinson,LAR,WR,108,6.4,17,0,0,0,0,0,0,0,0,64,31,505,7
Kyle Pitts,ATL,TE,107.7,6.3,17,0,0,0,0,0,0,0,0,74,47,602,4
Ray Davis,BUF,RB,107.6,6.3,17,0,0,0,0,113,442,3,0,19,17,189,3
Allen Lazard,NYJ,WR,107.5,9,12,0,0,0,0,0,0,0,0,61,37,530,6
Justice Hill,BAL,RB,106.1,7.1,15,0,0,0,0,47,228,1,0,51,42,383,3
Tre Tucker,LV,WR,105.8,6.2,17,0,0,0,0,9,44,1,0,81,47,539,3
Ameer Abdullah,LV,RB,105.2,6.6,16,0,0,0,0,66,311,2,1,47,40,261,3
Jaylen Warren,PIT,RB,105.1,7,15,0,0,0,0,120,511,1,1,48,38,310,0
Isaiah Likely,BAL,TE,102.7,6.4,16,0,0,0,0,0,0,0,1,58,42,477,6
Andrei Iosivas,CIN,WR,101.9,6,17,0,0,0,0,0,0,0,0,61,36,479,6
Michael Wilson,ARI,WR,101,6.3,16,0,0,0,0,1,7,0,1,71,47,548,4
Amari Cooper,CLE,WR,100.7,7.2,14,0,0,0,0,0,0,0,0,85,44,547,4
Xavier Legette,CAR,WR,100.6,6.3,16,0,0,0,0,6,24,0,0,84,49,497,4
Kayshon Boutte,NE,WR,100.4,6.7,15,0,0,0,0,0,0,0,0,68,43,589,3
Tyler Allgeier,ATL,RB,99.7,5.9,17,0,0,0,0,137,644,3,0,13,13,88,0
Joe Flacco,IND,QB,99,12.4,8,162,1761,12,7,9,26,0,4,0,0,0,0
Tyjae Spears,TEN,RB,98.6,8.2,12,0,0,0,0,84,312,4,0,35,30,224,1
Stefon Diggs,HOU,WR,97.9,12.2,8,1,13,0,0,3,8,1,0,64,47,496,3
Juwan Johnson,NO,TE,97.8,5.8,17,0,0,0,0,0,0,0,0,66,50,548,3
Keon Coleman,BUF,WR,97,7.5,13,0,0,0,0,1,9,0,0,57,29,556,4
Cole Kmet,CHI,TE,96.9,5.7,17,0,0,0,0,0,0,0,0,55,47,474,4
Tyler Lockett,SEA,WR,96.5,5.7,17,0,0,0,0,0,0,0,0,74,49,600,2
Tyler Conklin,NYJ,TE,96.4,6,16,0,0,0,0,1,0,0,0,72,51,449,4
Gardner Minshew II,LV,QB,96.3,9.6,10,203,2013,9,10,19,58,0,4,0,0,0,0
Mac Jones,JAX,QB,96.1,9.6,10,171,1672,8,8,28,92,1,2,0,0,0,0
Mason Rudolph,TEN,QB,95.8,12,8,146,1530,9,9,25,106,1,1,0,0,0,0
Calvin Austin III,PIT,WR,94.8,5.6,17,0,0,0,0,0,0,0,1,58,36,548,4
Aidan O'Connell,LV,QB,93.5,10.4,9,154,1612,8,4,21,30,1,2,0,0,0,0
Noah Gray,KC,TE,93.3,5.5,17,0,0,0,0,1,-4,0,0,49,40,437,5
Olamide Zaccheaus,WAS,WR,91.9,5.4,17,0,0,0,0,1,8,0,0,64,45,506,3
Antonio Gibson,NE,RB,91.9,5.4,17,0,0,0,0,120,538,1,0,29,23,206,0
Dalton Schultz,HOU,TE,91.7,5.4,17,0,0,0,0,0,0,0,0,85,53,532,2
Dontayvion Wicks,GB,WR,91,5.4,17,0,0,0,0,0,0,0,0,76,39,415,5
Jalen Nailor,MIN,WR,91,5.4,17,0,0,0,0,3,-4,0,0,43,28,414,6
Christian Watson,GB,WR,90.8,6.1,15,0,0,0,0,4,23,0,1,53,29,620,2
Darius Slayton,NYG,WR,90.5,5.7,16,0,0,0,0,2,17,0,0,71,39,573,2
Emanuel Wilson,GB,RB,90.5,5.3,17,0,0,0,0,103,502,4,0,14,11,48,1
Elijah Moore,CLE,WR,90.4,5.3,17,0,0,0,0,1,1,0,0,103,61,538,1
Joshua Palmer,LAC,WR,87.9,5.9,15,0,0,0,0,0,0,0,0,65,39,584,1
Chigoziem Okonkwo,TEN,TE,87.6,5.2,17,0,0,0,0,1,17,0,1,70,52,479,2
Foster Moreau,NO,TE,87.3,5.1,17,0,0,0,0,0,0,0,0,43,32,413,5
Isaac Guerendo,SF,RB,86.7,5.4,16,0,0,0,0,84,420,4,1,16,15,152,0
Cam Akers,HOU,RB,86.2,5.1,17,0,0,0,0,104,444,2,1,18,14,68,3
Devin Singletary,NYG,RB,86.1,5.7,15,0,0,0,0,113,437,4,2,24,21,119,0
Austin Hooper,NE,TE,86.1,5.1,17,0,0,0,0,0,0,0,1,59,45,476,3
Devaughn Vele,DEN,WR,86,6.6,13,0,0,0,0,0,0,0,0,55,41,475,3
Jaleel McLaughlin,DEN,RB,85.2,5.3,16,0,0,0,0,113,496,1,1,27,24,76,2
Will Dissly,LAC,TE,85.1,5.7,15,0,0,0,0,0,0,0,0,64,50,481,2
Mack Hollins,BUF,WR,83.3,4.9,17,0,0,0,0,0,0,0,0,50,31,378,5
Ty Johnson,BUF,RB,82.7,4.9,17,0,0,0,0,41,213,1,0,25,18,284,3
Dallas Goedert,PHI,TE,82.6,8.3,10,0,0,0,0,0,0,0,0,52,42,496,2
